ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,CrimeRegisteredDate,ArrestDelayDays,DistrictName,CrimeMajorHeadID,CrimeGroupName,GravityOffenceID,IsNightTime,AccusedMasterID,IsAccused
1,718,1,2024-03-04,2024-02-10,23,Vijayanagara,3,Crimes Against Women,2,1,1270,1
2,668,1,2024-09-29,2024-09-11,18,Bengaluru Urban,1,Crimes Against Body,1,1,1187,1
3,871,1,2024-09-15,2024-08-31,15,Bengaluru Urban,3,Crimes Against Women,2,1,92,1
4,950,1,2026-01-04,2026-01-03,1,Dakshina Kannada,4,Crimes Against Children,2,1,106,1
5,514,1,2026-05-16,2025-11-24,173,Udupi,2,Crimes Against Property,3,1,895,1
6,667,1,2024-09-05,2024-06-14,83,Mysuru,3,Crimes Against Women,1,1,1186,1
7,920,2,2026-08-09,2026-07-15,25,Mysuru,13,Crimes Related to Documents/Property,2,1,1286,1
8,108,1,2025-01-13,2024-12-21,23,Mysuru,2,Crimes Against Property,2,1,188,1
9,437,2,2025-08-02,2025-05-01,93,Gadag,10,Crimes Against Public Order,1,1,773,1
10,472,1,2025-12-15,2025-10-23,53,Belagavi (Belgaum),11,Traffic Related Offences,3,1,829,1
11,149,2,2024-08-18,2024-07-20,29,Davanagere,6,Economic Offences,1,1,271,1
12,351,1,2026-06-08,2026-06-05,3,Chikkamagaluru,2,Crimes Against Property,2,1,623,1
13,806,1,2026-08-14,2026-03-29,138,Yadgir,7,Cyber Crimes,2,1,1418,1
14,551,1,2026-01-16,2026-01-13,3,Mysuru,4,Crimes Against Children,1,1,975,1
15,449,1,2024-06-29,2024-06-04,25,Davanagere,8,Drug/Narcotic Offences,1,1,794,1
16,60,1,2025-03-08,2025-02-14,22,Dharwad,3,Crimes Against Women,2,1,97,1
17,313,1,2025-04-10,2025-04-03,7,Ballari (Bellary),8,Drug/Narcotic Offences,2,1,558,1
18,139,1,2024-12-10,2024-09-25,76,Bengaluru Rural,6,Economic Offences,2,1,256,1
19,902,1,2025-12-20,2025-07-07,166,Bengaluru Rural,3,Crimes Against Women,1,1,1098,1
20,644,2,2025-05-14,2025-02-09,94,Bengaluru Urban,2,Crimes Against Property,2,1,1145,1
21,519,1,2025-05-03,2025-04-13,20,Gadag,6,Economic Offences,1,1,903,1
22,557,1,2025-06-26,2025-04-30,57,Gadag,1,Crimes Against Body,1,1,989,0
23,820,2,2025-11-08,2025-11-01,7,Haveri,5,Crimes Against SCs/STs,2,1,1441,1
24,590,1,2024-08-12,2024-07-18,25,Gadag,4,Crimes Against Children,2,1,1053,1
25,685,1,2026-06-12,2026-06-04,8,Belagavi (Belgaum),7,Cyber Crimes,2,1,1212,1
26,578,1,2025-11-10,2025-11-09,1,Bengaluru Urban,1,Crimes Against Body,2,1,1028,1
