CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,UnitName,DistrictName,CaseCategoryID,GravityOffenceID,GravityLabel,CrimeMajorHeadID,CrimeGroupName,CrimeMinorHeadID,CrimeSubHeadName,CaseStatusID,CaseStatusName,CourtID,latitude,longitude,IncidentDurationHours,ReportingDelayHours,IncidentMonth,IncidentDayOfWeek,IncidentHour,IsNightTime,HasChargesheet,IsResolved
1,200120146202400001,202400001,2024-09-26,146,Davanagere Rural PS,Davanagere,2,3,Unknown,1,Crimes Against Body,3,Culpable Homicide,7,Pending Trial,13,14.497149,75.936116,24.0,48.0,9,0,0,1,1,1
2,200200161202500001,202500001,2025-08-07,161,Koppal Town PS,Koppal,2,2,Unknown,4,Crimes Against Children,18,Child Labour,7,Pending Trial,1,15.328438,76.14819,24.0,24.0,8,1,0,1,1,1
3,100250175202400001,202400001,2024-06-15,175,Shivamogga Town PS,Shivamogga,1,2,Unknown,2,Crimes Against Property,9,Burglary,1,Under Investigation,,13.945979,75.511798,48.0,48.0,6,3,0,1,0,0
4,100110143202500001,202500001,2025-12-19,143,Mangalore West PS,Dakshina Kannada,1,1,Unknown,2,Crimes Against Property,9,Burglary,3,Convicted,1,12.864917,74.807862,48.0,24.0,12,3,0,1,1,1
5,100050117202600001,202600001,2026-06-03,117,Koramangala PS,Bengaluru Urban,1,1,Unknown,1,Crimes Against Body,4,Assault,1,Under Investigation,,12.993592,77.612514,0.0,0.0,6,2,0,1,0,0
6,200050115202400001,202400001,2024-09-04,115,Whitefield PS,Bengaluru Urban,2,1,Unknown,8,Drug/Narcotic Offences,33,NDPS Trafficking,4,Acquitted,33,12.967721,77.672338,0.0,0.0,8,2,0,1,0,1
7,400050116202400001,202400001,2024-05-19,116,Electronic City PS,Bengaluru Urban,4,2,Unknown,2,Crimes Against Property,9,Burglary,2,Charge Sheeted,36,12.938462,77.642636,0.0,120.0,5,1,0,1,1,0
8,100050126202600001,202600001,2026-06-06,126,Hebbal PS,Bengaluru Urban,1,3,Unknown,7,Cyber Crimes,27,Online Fraud,3,Convicted,1,13.025056,77.534781,48.0,72.0,5,6,0,1,1,1
9,100050116202500001,202500001,2025-10-24,116,Electronic City PS,Bengaluru Urban,1,2,Unknown,3,Crimes Against Women,13,Sexual Harassment,1,Under Investigation,,13.064951,77.654755,24.0,0.0,10,4,0,1,0,0
10,400090135202400001,202400001,2024-12-08,135,Chikkamagaluru Town PS,Chikkamagaluru,4,1,Unknown,2,Crimes Against Property,6,Theft,2,Charge Sheeted,10,13.293054,75.778279,0.0,0.0,12,5,0,1,0,0
11,400110144202500001,202500001,2025-01-08,144,Ullal PS,Dakshina Kannada,4,1,Unknown,2,Crimes Against Property,6,Theft,7,Pending Trial,1,12.86162,74.886097,24.0,24.0,1,1,0,1,0,1
12,100050127202500001,202500001,2025-08-20,127,Peenya PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,9,Burglary,2,Charge Sheeted,36,13.073912,77.645142,48.0,72.0,8,5,0,1,1,0
13,100170155202400001,202400001,2024-03-21,155,Kalaburagi (Gulbarga) Town PS,Kalaburagi (Gulbarga),1,2,Unknown,3,Crimes Against Women,11,Dowry Death,1,Under Investigation,,17.36741,76.874065,24.0,0.0,3,3,0,1,0,0
14,100180157202500001,202500001,2025-07-22,157,Kodagu Town PS,Kodagu,1,1,Unknown,8,Drug/Narcotic Offences,32,Ganja Possession,1,Under Investigation,,12.430367,75.671124,48.0,72.0,7,1,0,1,0,0
15,100050123202500001,202500001,2025-10-26,123,KR Puram PS,Bengaluru Urban,1,1,Unknown,2,Crimes Against Property,10,Vehicle Theft,2,Charge Sheeted,33,12.949261,77.684524,24.0,72.0,10,2,0,1,1,0
16,800050117202400001,202400001,2024-09-05,117,Koramangala PS,Bengaluru Urban,8,2,Unknown,1,Crimes Against Body,2,Attempt to Murder,10,Abated,,12.919422,77.589372,24.0,48.0,9,0,0,1,0,0
17,100220169202400001,202400001,2024-03-02,169,Krishnaraja PS,Mysuru,1,2,Unknown,3,Crimes Against Women,11,Dowry Death,5,Closed (Undetected),,12.328224,76.664063,24.0,24.0,3,4,0,1,0,1
18,100050116202400001,202400001,2024-09-19,116,Electronic City PS,Bengaluru Urban,1,1,Unknown,10,Crimes Against Public Order,37,Rioting,5,Closed (Undetected),,12.963537,77.501156,0.0,24.0,9,3,0,1,0,1
19,100220165202400001,202400001,2024-08-27,165,Devaraja PS,Mysuru,1,2,Unknown,3,Crimes Against Women,12,Domestic Violence,6,Closed (False Case),,12.303889,76.661865,0.0,24.0,8,5,0,1,0,1
20,100220165202400002,202400002,2024-01-30,165,Devaraja PS,Mysuru,1,2,Unknown,1,Crimes Against Body,3,Culpable Homicide,1,Under Investigation,,12.327669,76.614471,48.0,48.0,1,6,0,1,0,0
