DistrictID,DistrictName,TotalFIRs,ViolentCrimeCount,PropertyCrimeCount,CyberCrimeCount,AvgArrestDelayDays,RepeatOffenderCount,ChargeSheetRate,RiskScore,RiskLevel
1,Bagalkote,19,10,5,0,36.8,4,0.211,53,MEDIUM
2,Ballari (Bellary),20,12,5,0,13.7,8,0.3,56,MEDIUM
3,Belagavi (Belgaum),51,22,20,1,30.9,6,0.373,53,MEDIUM
4,Bengaluru Rural,19,10,4,4,40.1,3,0.474,47,MEDIUM
5,Bengaluru Urban,311,175,82,19,30.4,8,0.341,86,HIGH
6,Bidar,29,14,7,3,27.9,3,0.31,48,MEDIUM
7,Chamarajanagara,17,12,2,0,33.5,4,0.353,50,MEDIUM
8,Chikkaballapura,18,13,3,1,22.2,3,0.278,47,MEDIUM
9,Chikkamagaluru,24,17,3,0,27.5,2,0.292,47,MEDIUM
10,Chitradurga,19,13,3,0,56.3,8,0.316,62,MEDIUM
11,Dakshina Kannada,44,27,8,3,36.5,6,0.318,58,MEDIUM
12,Davanagere,17,12,3,0,44.9,5,0.353,54,MEDIUM
13,Dharwad,23,12,6,2,14.9,2,0.435,42,MEDIUM
14,Gadag,31,16,12,2,29.6,7,0.387,56,MEDIUM
15,Hassan,5,3,1,0,5.3,2,0.6,36,MEDIUM
16,Haveri,17,10,2,3,36.0,4,0.412,49,MEDIUM
17,Kalaburagi (Gulbarga),16,12,2,1,53.0,5,0.25,57,MEDIUM
18,Kodagu,13,8,3,1,38.7,5,0.308,53,MEDIUM
19,Kolar,11,5,4,1,33.0,4,0.455,45,MEDIUM
20,Koppal,15,9,1,1,17.3,6,0.4,50,MEDIUM
21,Mandya,19,12,4,1,49.9,3,0.368,51,MEDIUM
22,Mysuru,90,55,20,6,22.1,8,0.344,63,MEDIUM
23,Raichur,17,7,6,1,28.5,3,0.647,38,MEDIUM
24,Ramanagara,12,7,5,0,46.9,5,0.417,53,MEDIUM
25,Shivamogga,13,6,5,1,12.3,3,0.462,40,MEDIUM
26,Tumakuru,38,24,10,0,23.9,7,0.316,57,MEDIUM
27,Udupi,24,14,7,2,48.6,3,0.417,50,MEDIUM
28,Uttara Kannada,26,15,7,1,31.3,4,0.346,51,MEDIUM
29,Vijayanagara,15,9,3,2,12.8,3,0.2,47,MEDIUM
30,Vijayapura,13,7,3,0,41.6,2,0.385,46,MEDIUM
31,Yadgir,14,8,3,0,74.9,3,0.214,54,MEDIUM
