YearMonth,DistrictName,IncidentCount,ViolentCount,PropertyCount
2024-01,Belagavi (Belgaum),3,1,1
2024-01,Bengaluru Rural,1,1,0
2024-01,Bengaluru Urban,11,5,4
2024-01,Bidar,1,0,1
2024-01,Chamarajanagara,2,2,0
2024-01,Chikkaballapura,1,0,1
2024-01,Chikkamagaluru,3,2,0
2024-01,Dakshina Kannada,2,2,0
2024-01,Dharwad,1,0,0
2024-01,Koppal,1,1,0
2024-01,Mysuru,5,4,1
2024-01,Ramanagara,1,1,0
2024-01,Shivamogga,1,1,0
2024-01,Tumakuru,1,0,1
2024-01,Udupi,2,2,0
2024-01,Uttara Kannada,1,0,0
2024-02,Belagavi (Belgaum),2,0,1
2024-02,Bengaluru Rural,1,1,0
2024-02,Bengaluru Urban,5,5,0
2024-02,Dakshina Kannada,1,0,1
2024-02,Dharwad,1,0,1
2024-02,Kodagu,2,1,1
2024-02,Koppal,1,0,0
2024-02,Mysuru,3,2,0
2024-02,Raichur,1,0,0
2024-02,Ramanagara,1,0,1
2024-02,Shivamogga,1,1,0
2024-02,Tumakuru,1,0,0
2024-02,Udupi,2,1,1
2024-02,Vijayanagara,2,2,0
2024-03,Belagavi (Belgaum),1,1,0
2024-03,Bengaluru Rural,2,0,1
2024-03,Bengaluru Urban,11,7,3
2024-03,Bidar,1,0,0
2024-03,Chikkaballapura,1,1,0
2024-03,Chikkamagaluru,2,1,0
2024-03,Dharwad,1,0,0
2024-03,Gadag,2,1,1
2024-03,Kalaburagi (Gulbarga),1,1,0
2024-03,Kodagu,1,0,0
2024-03,Mysuru,5,2,3
2024-03,Tumakuru,2,2,0
2024-03,Udupi,1,0,1
2024-03,Vijayanagara,1,1,0
2024-04,Bagalkote,2,0,0
2024-04,Ballari (Bellary),2,2,0
2024-04,Belagavi (Belgaum),2,1,1
2024-04,Bengaluru Urban,13,6,3
2024-04,Bidar,2,1,0
2024-04,Chitradurga,1,0,1
2024-04,Dakshina Kannada,1,1,0
2024-04,Dharwad,1,0,1
2024-04,Gadag,1,1,0
2024-04,Haveri,1,0,0
2024-04,Kalaburagi (Gulbarga),1,1,0
2024-04,Mysuru,1,0,0
2024-04,Shivamogga,1,0,1
2024-04,Tumakuru,4,2,2
2024-04,Uttara Kannada,1,1,0
2024-04,Vijayapura,2,1,1
2024-05,Bagalkote,1,0,0
2024-05,Belagavi (Belgaum),2,1,0
2024-05,Bengaluru Urban,7,3,4
2024-05,Chikkamagaluru,1,1,0
2024-05,Chitradurga,2,2,0
2024-05,Dakshina Kannada,2,0,2
2024-05,Davanagere,2,2,0
2024-05,Dharwad,2,0,1
2024-05,Gadag,1,1,0
2024-05,Hassan,1,0,1
2024-05,Mysuru,2,1,0
2024-05,Raichur,2,0,2
2024-05,Tumakuru,1,1,0
2024-05,Udupi,1,0,1
2024-05,Uttara Kannada,1,0,1
2024-05,Vijayanagara,1,1,0
2024-05,Yadgir,1,0,0
2024-06,Bagalkote,2,2,0
2024-06,Ballari (Bellary),1,0,1
2024-06,Belagavi (Belgaum),1,1,0
2024-06,Bengaluru Urban,13,7,6
2024-06,Bidar,1,1,0
2024-06,Chamarajanagara,1,0,1
2024-06,Chikkaballapura,2,0,0
2024-06,Dakshina Kannada,3,1,1
2024-06,Davanagere,2,1,1
2024-06,Gadag,2,1,1
2024-06,Kalaburagi (Gulbarga),2,2,0
