id,source,target,type,description
REL_ACC_1,PERSON_ACCUSED_1,FIR_1,ACCUSED_IN,Accused in FIR 1
REL_ACC_2,PERSON_ACCUSED_2,FIR_2,ACCUSED_IN,Accused in FIR 2
REL_ACC_3,PERSON_ACCUSED_3,FIR_3,ACCUSED_IN,Accused in FIR 3
REL_ACC_4,PERSON_ACCUSED_4,FIR_3,ACCUSED_IN,Accused in FIR 3
REL_ACC_5,PERSON_ACCUSED_5,FIR_3,ACCUSED_IN,Accused in FIR 3
REL_ACC_6,PERSON_ACCUSED_6,FIR_4,ACCUSED_IN,Accused in FIR 4
REL_ACC_7,PERSON_ACCUSED_7,FIR_5,ACCUSED_IN,Accused in FIR 5
REL_ACC_8,PERSON_ACCUSED_8,FIR_5,ACCUSED_IN,Accused in FIR 5
REL_ACC_9,PERSON_ACCUSED_9,FIR_6,ACCUSED_IN,Accused in FIR 6
REL_ACC_10,PERSON_ACCUSED_10,FIR_6,ACCUSED_IN,Accused in FIR 6
REL_ACC_11,PERSON_ACCUSED_11,FIR_7,ACCUSED_IN,Accused in FIR 7
REL_ACC_12,PERSON_ACCUSED_12,FIR_8,ACCUSED_IN,Accused in FIR 8
REL_ACC_13,PERSON_ACCUSED_13,FIR_8,ACCUSED_IN,Accused in FIR 8
REL_ACC_14,PERSON_ACCUSED_14,FIR_9,ACCUSED_IN,Accused in FIR 9
REL_ACC_15,PERSON_ACCUSED_15,FIR_10,ACCUSED_IN,Accused in FIR 10
REL_ACC_16,PERSON_ACCUSED_16,FIR_11,ACCUSED_IN,Accused in FIR 11
REL_ACC_17,PERSON_ACCUSED_17,FIR_11,ACCUSED_IN,Accused in FIR 11
REL_ACC_18,PERSON_ACCUSED_18,FIR_12,ACCUSED_IN,Accused in FIR 12
REL_ACC_19,PERSON_ACCUSED_19,FIR_12,ACCUSED_IN,Accused in FIR 12
REL_ACC_20,PERSON_ACCUSED_20,FIR_13,ACCUSED_IN,Accused in FIR 13
REL_ACC_21,PERSON_ACCUSED_21,FIR_14,ACCUSED_IN,Accused in FIR 14
REL_ACC_22,PERSON_ACCUSED_22,FIR_15,ACCUSED_IN,Accused in FIR 15
REL_ACC_23,PERSON_ACCUSED_23,FIR_15,ACCUSED_IN,Accused in FIR 15
REL_ACC_24,PERSON_ACCUSED_24,FIR_16,ACCUSED_IN,Accused in FIR 16
REL_ACC_25,PERSON_ACCUSED_25,FIR_16,ACCUSED_IN,Accused in FIR 16
REL_ACC_26,PERSON_ACCUSED_26,FIR_16,ACCUSED_IN,Accused in FIR 16
REL_ACC_27,PERSON_ACCUSED_27,FIR_17,ACCUSED_IN,Accused in FIR 17
REL_ACC_28,PERSON_ACCUSED_28,FIR_17,ACCUSED_IN,Accused in FIR 17
REL_ACC_29,PERSON_ACCUSED_29,FIR_18,ACCUSED_IN,Accused in FIR 18
REL_ACC_30,PERSON_ACCUSED_30,FIR_18,ACCUSED_IN,Accused in FIR 18
