id,fir_no,case_no,crime_type_id,crime_type_en,crime_type_kn,police_station_id,district_id,date,status_en,description,lat,lng
FIR_1,200120146202400001,202400001,CRIME_3,Culpable Homicide,Culpable Homicide,PS_146,DIST_1,2024-09-26,Pending Trial,"The complainant reported that Anitha died following an altercation with his neighbour near College Road, suspected to involve an extramarital affair suspicion.",14.497149,75.936116
FIR_2,200200161202500001,202500001,CRIME_18,Child Labour,Child Labour,PS_161,DIST_1,2025-08-07,Pending Trial,The complainant reported an incident related to crimes against children occurring near Old Town. Investigation is underway to ascertain further facts.,15.328438,76.14819
FIR_3,100250175202400001,202400001,CRIME_9,Burglary,Burglary,PS_175,DIST_1,2024-06-15,Under Investigation,"Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 311,000.",13.945979,75.511798
FIR_4,100110143202500001,202500001,CRIME_9,Burglary,Burglary,PS_143,DIST_1,2025-12-19,Convicted,"Unknown persons broke into the complainant's premises at Ring Road at night and decamped with valuables worth Rs 438,000.",12.864917,74.807862
FIR_5,100050117202600001,202600001,CRIME_4,Assault,Assault,PS_117,DIST_1,2026-06-03,Under Investigation,"The complainant stated that a known acquaintance assaulted them near Industrial Layout following an argument over past enmity, causing hurt.",12.993592,77.612514
FIR_6,200050115202400001,202400001,CRIME_33,NDPS Trafficking,NDPS Trafficking,PS_115,DIST_1,2024-09-04,Acquitted,"A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 3.4 kg, suspected to be in transit for sale.",12.967721,77.672338
FIR_7,400050116202400001,202400001,CRIME_9,Burglary,Burglary,PS_116,DIST_1,2024-05-19,Charge Sheeted,"Unknown persons broke into the complainant's premises at Industrial Layout at night and decamped with valuables worth Rs 219,000.",12.938462,77.642636
FIR_8,100050126202600001,202600001,CRIME_27,Online Fraud,Online Fraud,PS_126,DIST_1,2026-06-06,Convicted,"The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 436,000 from the complainant's account.",13.025056,77.534781
FIR_9,100050116202500001,202500001,CRIME_13,Sexual Harassment,Sexual Harassment,PS_116,DIST_1,2025-10-24,Under Investigation,The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Ring Road.,13.064951,77.654755
FIR_10,400090135202400001,202400001,CRIME_6,Theft,Theft,PS_135,DIST_1,2024-12-08,Charge Sheeted,"The complainant's laptop was stolen from outside their residence at College Road, valued at approximately Rs 165,000.",13.293054,75.778279
FIR_11,400110144202500001,202500001,CRIME_6,Theft,Theft,PS_144,DIST_1,2025-01-08,Pending Trial,"The complainant's two-wheeler was stolen from outside their residence at College Road, valued at approximately Rs 361,000.",12.86162,74.886097
FIR_12,100050127202500001,202500001,CRIME_9,Burglary,Burglary,PS_127,DIST_1,2025-08-20,Charge Sheeted,"Unknown persons broke into the complainant's premises at Gandhi Nagar at night and decamped with valuables worth Rs 207,000.",13.073912,77.645142
FIR_13,100170155202400001,202400001,CRIME_11,Dowry Death,Dowry Death,PS_155,DIST_1,2024-03-21,Under Investigation,The victim Manoj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by an unidentified assailant.,17.36741,76.874065
FIR_14,100180157202500001,202500001,CRIME_32,Ganja Possession,Ganja Possession,PS_157,DIST_1,2025-07-22,Under Investigation,Police intercepted the accused near Ring Road and recovered 6.5 kg of ganja from their possession.,12.430367,75.671124
FIR_15,100050123202500001,202500001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_123,DIST_1,2025-10-26,Charge Sheeted,The complainant reported that their scooter parked near College Road was stolen overnight. The vehicle was not recovered at the time of registration.,12.949261,77.684524
FIR_16,800050117202400001,202400001,CRIME_2,Attempt to Murder,Attempt to Murder,PS_117,DIST_1,2024-09-05,Abated,The accused attacked Manoj with a sharp weapon near College Road following a quarrel over a financial transaction. The victim was rushed to hospital with grievous injuries.,12.919422,77.589372
FIR_17,100220169202400001,202400001,CRIME_11,Dowry Death,Dowry Death,PS_169,DIST_1,2024-03-02,Closed (Undetected),The victim Lakshmi died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by her in-laws.,12.328224,76.664063
FIR_18,100050116202400001,202400001,CRIME_37,Rioting,Rioting,PS_116,DIST_1,2024-09-19,Closed (Undetected),"A group of persons allegedly assembled unlawfully near New Extension and engaged in rioting, causing damage to property.",12.963537,77.501156
FIR_19,100220165202400001,202400001,CRIME_12,Domestic Violence,Domestic Violence,PS_165,DIST_1,2024-08-27,Closed (False Case),The complainant alleged repeated physical and mental harassment by her in-laws over dowry-related demands at their residence in Ring Road.,12.303889,76.661865
FIR_20,100220165202400002,202400002,CRIME_3,Culpable Homicide,Culpable Homicide,PS_165,DIST_1,2024-01-30,Under Investigation,"The complainant reported that Manoj died following an altercation with her in-laws near Industrial Layout, suspected to involve a financial transaction.",12.327669,76.614471
FIR_21,100050117202500001,202500001,CRIME_9,Burglary,Burglary,PS_117,DIST_1,2025-01-30,Under Investigation,"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 214,000.",12.923838,77.65097
FIR_22,100050120202500001,202500001,CRIME_55,Chain Snatching,Chain Snatching,PS_120,DIST_1,2025-06-24,Under Investigation,"The complainant, a woman walking near Temple Street, reported that two men on a motorcycle snatched her gold chain and sped away towards New Extension.",12.957279,77.57202
FIR_23,100140149202400001,202400001,CRIME_1,Murder,Murder,PS_149,DIST_1,2024-05-20,Closed (Undetected),"The complainant reported that Manoj was found dead with injuries near MG Road, allegedly assaulted by his neighbour following a dispute over an extramarital affair suspicion.",15.450388,75.645413
FIR_24,100090136202400001,202400001,CRIME_4,Assault,Assault,PS_136,DIST_1,2024-12-06,Closed (False Case),"The complainant stated that an unidentified assailant assaulted them near APMC Yard following an argument over past enmity, causing hurt.",13.2644,75.794271
FIR_25,100230173202400001,202400001,CRIME_33,NDPS Trafficking,NDPS Trafficking,PS_173,DIST_1,2024-05-29,Charge Sheeted,"A police patrol near Bus Stand Road intercepted a vehicle and recovered narcotic substances weighing 6.9 kg, suspected to be in transit for sale.",16.213661,77.36448
FIR_26,300290179202400001,202400001,CRIME_35,Illegal Firearm Possession,Illegal Firearm Possession,PS_179,DIST_1,2024-11-22,Under Investigation,Police recovered an unlicensed firearm from the accused during a routine check near Ring Road.,15.182344,76.504343
FIR_27,300050117202600001,202600001,CRIME_17,Child Trafficking,Child Trafficking,PS_117,DIST_1,2026-04-12,Pending Trial,Information was received regarding a minor being transported from Bus Stand Road allegedly for trafficking purposes; the child was rescued.,12.979127,77.688258
FIR_28,100210163202500001,202500001,CRIME_13,Sexual Harassment,Sexual Harassment,PS_163,DIST_1,2025-11-20,Under Investigation,The complainant reported that an unidentified assailant made unwelcome advances and passed lewd remarks towards her near Old Town.,12.523696,76.848312
FIR_29,400190160202400001,202400001,CRIME_37,Rioting,Rioting,PS_160,DIST_1,2024-12-13,Closed (Undetected),"A group of persons allegedly assembled unlawfully near MG Road and engaged in rioting, causing damage to property.",13.154551,78.10007
FIR_30,500060130202500001,202500001,CRIME_13,Sexual Harassment,Sexual Harassment,PS_130,DIST_1,2025-03-17,Under Investigation,The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Ring Road.,17.959871,77.529281
FIR_31,100030109202400001,202400001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_109,DIST_1,2024-01-16,Under Investigation,The complainant reported that their car parked near Market area was stolen overnight. The vehicle was not recovered at the time of registration.,15.851245,74.538317
