id,from_account_id,to_account_id,amount,timestamp,type,description,flagged,pattern
TX_99,BANK_7,BANK_49,18731,2023-01-01T19:41:27.772Z,NEFT,Transfer,,NORMAL
TX_184,BANK_13,BANK_42,17141,2023-01-04T17:21:10.277Z,UPI,Transfer,,NORMAL
TX_337,BANK_70,BANK_85,37134,2023-01-07T02:43:34.613Z,UPI,Transfer,,NORMAL
TX_198,BANK_61,BANK_49,49154,2023-01-08T11:17:44.434Z,NEFT,Transfer,,NORMAL
TX_388,BANK_67,BANK_18,25423,2023-01-10T18:40:09.467Z,UPI,Transfer,,NORMAL
TX_333,BANK_73,BANK_38,42510,2023-01-11T20:47:40.196Z,UPI,Transfer,,NORMAL
TX_78,BANK_48,BANK_71,13008,2023-01-13T14:18:48.267Z,NEFT,Transfer,,NORMAL
TX_117,BANK_8,BANK_76,31881,2023-01-15T18:28:48.748Z,NEFT,Transfer,,NORMAL
TX_243,BANK_55,BANK_87,4699,2023-01-21T06:07:57.669Z,NEFT,Transfer,,NORMAL
TX_15,BANK_79,BANK_87,43157,2023-01-21T11:10:39.169Z,UPI,Transfer,,NORMAL
TX_210,BANK_29,BANK_70,11234,2023-01-22T03:07:19.142Z,UPI,Transfer,,NORMAL
TX_208,BANK_28,BANK_30,4242,2023-01-27T23:21:04.009Z,NEFT,Transfer,,NORMAL
TX_371,BANK_56,BANK_87,24491,2023-01-31T00:39:49.701Z,UPI,Transfer,,NORMAL
TX_391,BANK_78,BANK_18,34816,2023-02-02T00:34:22.341Z,NEFT,Transfer,,NORMAL
TX_162,BANK_64,BANK_34,10324,2023-02-02T07:55:01.264Z,NEFT,Transfer,,NORMAL
TX_324,BANK_48,BANK_39,40766,2023-02-02T22:05:15.280Z,UPI,Transfer,,NORMAL
TX_319,BANK_17,BANK_39,43280,2023-02-04T15:13:27.647Z,NEFT,Transfer,,NORMAL
TX_152,BANK_89,BANK_81,25121,2023-02-06T08:40:44.793Z,NEFT,Transfer,,NORMAL
TX_307,BANK_15,BANK_18,11008,2023-02-06T17:56:02.260Z,NEFT,Transfer,,NORMAL
TX_359,BANK_17,BANK_84,36148,2023-02-09T17:13:28.546Z,NEFT,Transfer,,NORMAL
TX_377,BANK_25,BANK_66,1619,2023-02-09T23:10:35.448Z,UPI,Transfer,,NORMAL
TX_47,BANK_39,BANK_14,26870,2023-02-12T16:01:00.648Z,UPI,Transfer,,NORMAL
TX_383,BANK_89,BANK_40,32776,2023-02-12T16:25:34.742Z,UPI,Transfer,,NORMAL
TX_274,BANK_38,BANK_96,28623,2023-02-13T21:51:37.448Z,UPI,Transfer,,NORMAL
TX_29,BANK_85,BANK_41,11472,2023-02-13T23:54:15.800Z,NEFT,Transfer,,NORMAL
TX_169,BANK_27,BANK_7,1284,2023-02-17T19:41:58.968Z,NEFT,Transfer,,NORMAL
TX_314,BANK_22,BANK_40,1310,2023-02-19T18:46:26.811Z,NEFT,Transfer,,NORMAL
TX_236,BANK_73,BANK_88,3647,2023-02-21T01:07:31.000Z,NEFT,Transfer,,NORMAL
TX_363,BANK_65,BANK_86,11144,2023-02-23T09:58:54.976Z,NEFT,Transfer,,NORMAL
TX_150,BANK_43,BANK_38,46188,2023-02-23T21:20:13.000Z,UPI,Transfer,,NORMAL
TX_392,BANK_24,BANK_3,21842,2023-03-13T16:58:34.101Z,UPI,Transfer,,NORMAL
TX_158,BANK_9,BANK_15,1330,2023-03-16T17:51:07.239Z,NEFT,Transfer,,NORMAL
TX_164,BANK_43,BANK_68,24839,2023-03-18T14:17:58.109Z,NEFT,Transfer,,NORMAL
TX_18,BANK_9,BANK_5,41188,2023-03-21T13:17:29.551Z,UPI,Transfer,,NORMAL
TX_181,BANK_10,BANK_60,19150,2023-03-23T07:28:36.248Z,NEFT,Transfer,,NORMAL
TX_45,BANK_16,BANK_52,22656,2023-04-11T18:19:42.314Z,NEFT,Transfer,,NORMAL
TX_315,BANK_79,BANK_93,43389,2023-04-13T19:55:07.295Z,NEFT,Transfer,,NORMAL
TX_139,BANK_41,BANK_92,41595,2023-04-14T08:18:27.826Z,NEFT,Transfer,,NORMAL
TX_367,BANK_76,BANK_18,17773,2023-04-14T10:07:34.336Z,NEFT,Transfer,,NORMAL
TX_105,BANK_92,BANK_95,20558,2023-04-15T04:16:11.195Z,NEFT,Transfer,,NORMAL
TX_213,BANK_32,BANK_11,292,2023-04-23T01:25:45.025Z,NEFT,Transfer,,NORMAL
TX_393,BANK_97,BANK_13,19524,2023-04-24T07:16:01.461Z,UPI,Transfer,,NORMAL
TX_320,BANK_86,BANK_48,3310,2023-05-01T20:35:57.161Z,UPI,Transfer,,NORMAL
TX_75,BANK_97,BANK_73,20278,2023-05-02T14:16:08.510Z,NEFT,Transfer,,NORMAL
TX_255,BANK_66,BANK_71,15437,2023-05-06T15:37:22.942Z,NEFT,Transfer,,NORMAL
TX_311,BANK_86,BANK_82,7675,2023-05-09T18:28:11.787Z,NEFT,Transfer,,NORMAL
TX_254,BANK_15,BANK_46,45962,2023-05-12T08:28:48.546Z,UPI,Transfer,,NORMAL
TX_179,BANK_96,BANK_63,38859,2023-05-14T20:25:53.956Z,NEFT,Transfer,,NORMAL
TX_104,BANK_76,BANK_15,35221,2023-05-18T01:57:20.675Z,NEFT,Transfer,,NORMAL
TX_398,BANK_52,BANK_8,30914,2023-05-19T08:44:12.697Z,NEFT,Transfer,,NORMAL
TX_239,BANK_75,BANK_15,16545,2023-05-23T02:44:55.014Z,NEFT,Transfer,,NORMAL
TX_401,BANK_1,BANK_2,49061,2023-05-31T18:30:00.000Z,NEFT,Consulting Fee,1,STRUCTURING
TX_402,BANK_1,BANK_2,49161,2023-05-31T20:30:00.000Z,NEFT,Consulting Fee,1,STRUCTURING
TX_403,BANK_1,BANK_2,49185,2023-05-31T22:30:00.000Z,NEFT,Consulting Fee,1,STRUCTURING
TX_404,BANK_1,BANK_2,49399,2023-06-01T00:30:00.000Z,NEFT,Consulting Fee,1,STRUCTURING
