id,type,description
WEAPON_1,Iron Rod,curto capillus cornu
WEAPON_2,Pistol,desparatus videlicet consectetur
WEAPON_3,Iron Rod,crudelis speciosus amissio
WEAPON_4,Knife,complectus ascit defleo
WEAPON_5,Pistol,vel tribuo apud
WEAPON_6,Knife,audax curvo subvenio
WEAPON_7,Iron Rod,viduo vito cursim
WEAPON_8,Pistol,thesis cultura corona
WEAPON_9,Pistol,candidus quia tollo
WEAPON_10,Machete,tenuis somniculosus deserunt
WEAPON_11,Iron Rod,doloremque constans calcar
WEAPON_12,Pistol,arcus deduco vesica
WEAPON_13,Machete,agnitio varietas veritatis
WEAPON_14,Knife,cilicium supra creo
WEAPON_15,Machete,ciminatio acerbitas carbo
WEAPON_16,Iron Rod,aureus convoco ex
WEAPON_17,Iron Rod,constans absum denuncio
WEAPON_18,Machete,studio canto coepi
WEAPON_19,Iron Rod,ulterius infit compello
WEAPON_20,Machete,tamquam sodalitas depereo
WEAPON_21,Machete,minus crebro capio
WEAPON_22,Iron Rod,creator arcus cattus
WEAPON_23,Machete,cognomen uberrime vita
WEAPON_24,Pistol,aliqua cura crustulum
WEAPON_25,Machete,nostrum accommodo vesper
WEAPON_26,Pistol,articulus recusandae colligo
WEAPON_27,Knife,degero consectetur contra
WEAPON_28,Machete,constans error vomer
WEAPON_29,Machete,deleo vulgaris alius
WEAPON_30,Knife,traho addo paens
WEAPON_31,Machete,ullus umbra vulgo
WEAPON_32,Knife,acidus animi atqui
WEAPON_33,Pistol,conservo tergiversatio curiositas
WEAPON_34,Knife,delego valde venia
WEAPON_35,Machete,defessus eum suffragium
WEAPON_36,Iron Rod,sed adfectus corrumpo
WEAPON_37,Pistol,vulpes canis video
WEAPON_38,Machete,adicio victus tametsi
WEAPON_39,Pistol,adipiscor soluta tego
WEAPON_40,Pistol,arcesso aufero vado
